1. Principles of control theory,Define the term of internal environment and explain the importance of its control?,Define the terms homeostasis and homeostatic parameters. List at least 5 controlled functions and/or parameters in human.,Distinguish between guidance and control.,Describe the major forms of physiological controlling circuits.,Describe the parts of the neuronal reflex arch and explain their respective functions in control.,"Define negative and positive feedback control. Give examples for processes controlled by negative feedback, positive feedback.","Characterize endocrine, paracrine and autocrine humoral control based on the release site of the mediators and their path to the target cells.","Define ""behavioural control"" and explain its importance/necessity. Give examples!",How can the efficiency of control systems be expressed quantitatively?,Define the term servo-control mechanism.,,,,,,,
2. Passive transport mechanisms of the cell membrane,Describe and make a schematic drawing of the molecular structure of the plasma membrane.,"Explain how the distribution of phospholipids and proteins influences the membrane permeability of ions, hydrophylic and hydrophobic compounds. ",Describe lateral diffusion in the membrane.,"Contrast the following units used to describe concentration: mM, mEq/l, mosm/kgH2O.",Define simple diffusion and explain how changes in the driving forces and membrane properties will influence the transport rate.,State Fick's law of diffusion.,Describe the role of water channels (aquaporins) in the water permeabiliy of the cell membrane.,"Define: osmosis, osmol, osmolarity, osmolality and tonicity, and reflection coefficient.",Explain how the different permeability of the cell membrane to water and solutes will generate an osmotic pressure.,Characterize facilitated diffusion. Define the types of the carriers.,"Define the terms: transport maximum, saturation, competitive and non-competitive inhibition.",,,,,,
3. Active transport mechanisms of the cell membrane.,Define the terms primary and secondary active transport.,"Describe how energy from ATP hydrolysis is used to transport ions such as Na+, K+, Ca2+ and H+ against their electrochemical differences via examples.","Explain how energy from the Na+and K+ electrochemical gradients across the plasma membrane can be used to drive the net ""uphill"" (against gradient)movement of other solutes.",Explain the role and significance of ATP-binding cassette (ABC) transporters via examples.,"Define the term vesicular transport: endocytosis, exocytosis, transcytosis. Give examples for specific and aspecific vesicular transport processes.",,,,,,,,,,,,
4. The resting membrane potential,"Explain the origin of the resting membrane potential, the electric and chemical forces that determine the diffusion of ions.","State the Nernst equation used to determine the equilibrium potential of ions, and apply the equation to determine the equilibrium potential for K+ in the cell membrane (EK+).","Using the Nernst-equation predict the direction of net ion movement, if the membrane potential is a) equal), b) lower, c) higher than the ion's equilibrium potential.","Give the typical quilibrium potential values for Na+, K+, Cl-, and Ca2+.","Using the Nernst-equation calculate EK+ if the extracellular K+--concentration increases by 5 mmol/l, and Ena+ if the extracellular Na+-concentration increases by 5 mmol/l.",Determine the resting membrane potential (for instance in striated muscle fibers) using the Goldman-Hodgkin-Katz-equation.,"Explain how the membrane potential is affected if the membrane permeability to Na+, K+, and Cl- decreases.",Characterize the dynamic equilibrium ('steady state') in the resting membrane.,"Explain the importance of the simultaneous passive ion currents (eg. Na+, K+) and active ion pumping (Na+-K+-ATPase) in determining the membrane potential and cellular volume.",Explain the consequence of the inhibition of the Na+-K+-ATPase.,,,,,,,
5. The electric properties of neuronal membranes.,"Define the following terms regarding ion channels: selectivity, gating, activation, inactivation.","Compare the gating mechanisms of intra- and extracellular ligand-gated, voltage-gated, and mechanical-gated ion channels.",Explain the importance of the 'voltage clamp' technique to study ion channel function.,"Define and compare the electrotonic (local, graded) potentials with the action potential.",Describe the regions of the neuronal membrane where these potentials typically occur.,"Make a schematic drawing of the membrane potential changes during an action potential recorded in the giant squid axon. Using the drawing, identify the phases of the action potential.","Explain the terms threshold and the ""all or none"" principle.",Define the terms rheobase and chronaxia.,"Characterize the voltage-gated Na+-, K+- and Ca2+-channels functionally.","Describe the role of voltage-gated Na+-, K+- and Ca2+-channels in the phases of the neuronal action potential.",Define and explain the terms absolute and relative refractory periods.,,,,,,
6. The axonal propagation of the action potential. Axon classification.,Describe the propagation of the action potential in myelinated and unmyelinated axons.,Explain saltatory conduction.,Define the terms membrane space constant and time constant.,Define membrane capacity.,Explain how membrane capacity affects the propagation of electric current in myelinated and unmyelinated axons.,Action potential propagation in mixed peripheral nerves: The compound (extracellular recorded) action potential.,Explain how axonal diameter and myelinisation determines the action propagation velocity of different axons in the same peripheral nerve.,Describe the various axon classes based on the Erlanger-Gasser-classification.,,,,,,,,,
"7. Receptors, signal transduction mechanisms.","Describe the main types of signaling molecules: autocrine and paracrine signaling molecules, hormones, neurotransmitters, neurohormones.","Define the terms: receptor, ligand, agonist, antagonist (competitive, non-competitive).","Classification of receptors: 1. based on localization, 2. based on function.","Ionotropic receptors: selective and non-selective receptors, cation and anion channels. Give 1-1 examples.",Metabotropic receptors: types.,"Heterotrimer G-proteins, types, functions.","Define the term second messengers, describe the most important members.",Explain the importance of posttranslational modification to control the activity of cellular proteins.,Explain the function of receptor enzymes and enzyme-linked receptors through 1-1 example.,Signal transduction via intracellular receptors: the general structure and function of cytosolic and nuclear receptors explained through 1-1 example.,"Describe the following terms related to membrane receptors: activation, inactivation, internalization, up-regulation, down-regulation, sensitization, desensitization",,,,,,
8. Fluid compartments of the body. The blood plasma.,Define the terms extracellular and intracellular fluid. List the compartments of extracellular fluid.,"Describe the indicator dilution technique and its use to determine plasma volume, blood volume, extracellular fluid volume, and total body water.","Describe the fractions obtained by centrifugation (cells, plasma).",Define the term hematocrit.,List the anorganic and organic constituents of the blood plasma.,"Identify the protein fractions of blood plasma, explain the method (electrophoresis) used for their measurement. Give 1-1 example from each fraction.",Identify and characterize the lipoproteins found in the blood plasma.,,,,,,,,,,
9. The general features of red blood cells.,"Describe the following parameters of the red blood cells: count, size, shape, life span.",What is the fate of the cell organelles in mature red blood cells?,"Define the following terms and give the formula of their calculation: MCH, MCHC, MCV.",Describe the Price-Jones curve.,Enlist and describe the types of anemias and explain their mechanism.,Characterize the osmotic resistance of the red blood cells.,"Describe the mechanism of blood sedimentation, the method of its measurement, significance and normal value.",Describe the membrane of the red blood cells. Enlist three important membrane proteins.,,,,,,,,,
10. Erythropoesis.,Describe the red bone marrow and enlist the main progenitors of red blood cells.,"Provide the definition of reticulocyte, its staining and the significance of reticulocyte count.","Describe the main stages and mechanisms of iron turnover: absorption, transport, storage, regulation.",The role of vitamin B12 and folic acid in the formation of red blood cells.,"Erythropoietin: production, trigger, function.",Enlist some important hormonal influences on erythropoiesis.,,,,,,,,,,,
"11. Hemoglobin degradation, bilirubin metabolism.","Describe the fate of old erythrocytes, release of hemoglobin, binding proteins of hem and hemoglobin, and the uptake into the macrophages.","Describe the steps of the degradation of hemoglobin, the fate of iron, globin chains, and the porphyrin ring.","The release of bilirubin from macrophages, transport in blood, uptake in liver, conjugation and secretion into the bile.",Provide the definition of direct and indirect bilirubin.,"The fate of bilirubin in the intestines, the enterohepatic circulation and secretion.","Urobilinogen (UBG), and the significance of its detection in the urine.",The definition of icterus (jaundice) and some of its main forms.,,,,,,,,,,
